ORF	T0.0	T0.5	T1.0	T1.5	T2.0	T2.5	T3.0	T3.5	T4.0	T4.5	T5.0	T5.5	T6.0	T6.5
YOR258W	0.4890	-0.1240	-0.4410	0.1680	-0.1680	-0.1450	-0.7510	-0.3900	-0.3510	-0.5290	-0.0370	-0.4670	-0.4350	-0.3100
YDL228C	0.1290	0.9800	0.3380	0.2990	-0.0540	0.2510	0.3520	0.6630	0.3970	0.3770	0.1300	0.3190	0.8200	0.5860
YDR206W	-0.4090	-0.1120	-0.1350	0.1710	-0.1500	0.2080	0.4410	0.1360	0.3090	0.3570	-0.1080	0.2520	0.6000	0.1890
YJL075C	-0.1310	-0.1870	-0.0830	0.1460	0.3470	-0.1210	0.1820	-0.1300	-0.2730	-0.5890	0.0670	-0.5290	-0.6620	-0.4930
YML011C	-0.8550	-0.7520	-0.5060	0.5610	-0.1450	0.0240	0.2420	-0.0930	-0.2840	-0.4310	-0.2080	-0.8660	-0.3320	-0.4520
YKL025C	0.1560	-0.2610	-0.3790	0.1520	-0.2010	-0.5500	-0.0030	-0.2090	0.1310	0.0230	-0.2750	0.1710	0.0450	0.3170
YOR012W	-0.0885	-0.4820	-0.6100	-0.1255	-0.5590	-0.6985	-0.7395	-0.4300	-0.3295	-0.5400	-0.6845	0.0750	0.1468	-0.1645
YKL038W	0.6470	-0.1320	-0.1810	0.1870	-0.0590	-0.0640	-0.1180	0.0310	-0.0980	-0.2050	-0.1860	0.1620	-0.0720	0.0130
YGR220C	0.1810	-0.0490	-0.3430	0.0760	-0.1950	-0.0740	0.1260	0.2320	0.1930	0.0530	0.2910	-0.2310	0.0540	-0.1580
YGR189C	-3.2330	-2.2290	-2.0920	-0.9540	0.2810	0.2520	0.0430	0.4490	0.1440	0.7600	0.2690	0.5610	0.8380	0.7420
YIL078W	-0.4820	-0.4520	-0.4060	0.0060	-0.0430	0.0030	0.2460	-0.1470	0.0170	-0.0030	-0.1540	0.2450	-0.3760	-0.2910
YKL018W	-0.2500	-0.3050	-0.6660	-0.2440	-0.1760	-0.3370	-0.3250	-0.2800	-0.4690	-0.4550	-0.0640	-0.3070	-0.4120	-0.3120
YDR156W	-0.2430	0.0000	-0.1020	0.1130	-0.0440	-0.1960	0.0400	0.3610	0.1740	0.0210	-0.2750	-0.0710	-0.1720	0.1750
YHL046C	0.1180	0.0050	-0.0950	-0.0400	-0.0510	-0.4830	-0.1030	-0.1570	-0.2010	-0.5750	-0.1490	-0.3060	-0.3210	-0.2400
YOL090W	-2.1010	-1.2640	-0.7620	-0.1420	0.0950	0.4610	0.4610	0.0510	0.2070	0.0840	-0.0680	-0.3900	-0.4370	-0.3420
YDR444W	-1.1680	-0.5970	-0.6060	-0.2470	-0.2560	0.1580	-0.1850	0.3720	0.2290	0.2670	0.0570	0.2560	0.2270	0.2250
YLR241W	-0.2550	-0.1280	-0.3210	-0.1630	-0.3840	-0.3490	-0.1270	-0.1650	0.3230	-0.0960	0.1390	0.3650	0.1950	0.0620
YPL068C	-1.2680	-0.9660	-1.2250	0.3540	0.8030	0.0240	0.1430	-0.2410	-0.1120	0.2950	-0.2530	-0.5020	-0.0570	-0.0670
YBR238C	-1.7575	-1.1180	-0.9145	-0.3515	0.1415	0.3340	0.1570	-0.2675	-0.0760	0.1775	0.0985	-0.2590	-0.6560	-0.1235
YKR079C	-1.2740	-0.0670	0.1050	0.3760	0.4860	0.3820	0.4320	0.2730	-0.2800	0.5000	0.4670	-0.1480	-0.1880	0.3620
YDR111C	-0.8450	-0.5770	-0.4230	-0.3720	-0.3190	-0.4580	-0.0580	-0.0910	-0.1070	-0.3270	-0.1080	0.1340	0.1600	0.2260
YBR093C	-1.5170	0.7230	0.2015	-0.0805	-0.0705	-0.0505	-0.0600	-0.0895	-0.0985	0.3075	0.1270	0.2445	-0.0560	0.0950
YHR072W	-1.0010	0.4440	0.6880	0.4260	0.4680	0.6220	0.3290	0.2400	0.2620	0.1780	0.2420	-0.1900	-0.0010	0.4830
YML050W	-0.2730	-0.9130	-0.1900	-0.0540	-0.1260	-0.5170	-0.2000	-0.2250	-0.3530	-0.3830	-0.1120	-0.3560	-0.5460	-0.2960
