ORF,T0.0,T0.5,T1.0,T1.5,T2.0,T2.5,T3.0,T3.5,T4.0,T4.5,T5.0,T5.5,T6.0,T6.5
YBR081C,-0.269,-0.0687,-0.2687,-0.0243,-0.2237,-0.0687,-0.17,-0.04,0.1473,0.1707,-0.4113,0.3533,0.4177,-0.156
YLR306W,-0.382,-0.692,-0.619,-0.302,-0.222,-0.089,-0.257,-0.228,-0.299,-0.611,-0.246,-0.116,-0.869,-0.509
YHR014W,-0.879,-0.545,-0.924,-0.483,-0.284,-0.419,-0.664,-0.904,-0.55,-0.642,-0.387,-0.313,-0.455,-0.511
YJL169W,0.029,0.16,0.443,0.503,0.656,0.405,0.352,-0.006,-0.166,-0.291,0.307,0.012,-0.255,-0.151
YAR008W,-0.313,-0.976,-0.5385,-0.024,0.1295,0.232,-0.108,-0.46,-0.3295,-0.3485,-0.0725,-0.7285,-0.598,-0.313
YOR067C,-0.663,-0.282,-0.381,-0.313,-0.279,-0.224,0.114,-0.15,-0.352,-0.38,-0.572,-0.272,-0.657,-0.502
YNL213C,-0.276,-1.619,-0.685,-0.38,-0.08,0.262,-0.164,0.158,0.213,0.13,-0.233,-0.419,0.405,0.111
YLR454W,-0.9375,-0.802,-0.1705,0.3645,-0.2765,-1.0285,0.1605,-0.146,0.1315,-0.1765,-0.49,-0.323,0.4949,-0.2955
YGR010W,0.541,0.07,0.515,0.716,0.205,0.063,0.026,0.246,-0.012,0.07,0.253,0.233,0.238,0.357
YIL019W,-0.562,0.384,0.371,0.015,0.702,0.481,0.121,0.06,-0.618,0.017,0.266,-0.802,-0.829,0.081
YBR266C,-0.85,0.266,0.254,0.919,0.74,0.818,0.551,0.324,-0.412,0.271,0.227,-0.921,-0.248,0.006
YBR170C,-0.359,0.2575,-0.02,-0.0145,-0.1355,-0.4035,-0.121,0.273,-0.0325,-0.012,-0.195,-0.1655,0.0615,0.254
YMR326C,-0.694,-0.852,-0.757,-0.5805,-0.0905,-0.677,-0.332,-0.3695,-0.581,-0.551,-0.617,-0.4775,-0.8945,-0.477
YJL156C,0.744,-0.215,-0.112,-0.361,0.15,-0.034,-0.226,-0.013,-0.058,-0.133,0.006,0.082,-0.023,-0.039
YOR226C,-0.199,-0.08,-0.267,0.092,0.054,0.457,-0.052,0.144,0.343,0.181,-0.095,0.23,0.098,0.389
YOR114W,-0.079,-0.12,-0.071,-0.205,0.201,0.34,0.05,0.059,0.073,-0.267,0.186,-0.16,-0.313,-0.319
YOL118C,-0.141,0.328,-0.342,0.378,-0.148,-2.565,-0.228,-0.054,-0.093,-0.149,-0.431,-0.008,0.081,0.11
YIL063C,-0.073,-0.256,-0.154,-0.084,0.102,0.197,-0.317,0.347,0.067,-0.265,0.099,0.014,-0.158,-0.108
YER082C,-0.816,-0.609,-0.274,0.045,0.579,0.523,-0.049,0.231,0.022,0.302,0.003,-0.395,-0.315,0.149
YJL113W,-0.8665,-0.1673,-0.2195,0.1015,-0.384,-0.023,-0.14,-0.3065,-0.007,-0.0695,-0.3586,-0.376,0.097,0.0075
YIR018W,0.965,0.416,0.326,0.413,0.152,0.058,0.018,-0.24,-0.025,-0.199,-0.116,-0.339,0.12,-0.129
YBR143C,-0.9405,-0.127,-0.3365,0.2975,0.1865,0.2305,0.262,0.114,-0.179,-0.1015,0.03,-0.135,-0.5595,-0.307
YHR024C,-0.751,-0.433,-0.091,0.02,-0.132,0.24,0.242,0.565,0.471,0.653,0.231,0.31,0.46,0.438
YBR284W,-0.067,0.113,-0.012,0.105,-0.243,-0.616,-0.136,0.127,-0.096,-0.093,-0.051,0.115,0.217,0.198
YGL089C,-0.016,0.222,0.291,0.578,0.159,0.21,-0.167,-0.261,-0.418,-0.379,-0.306,-0.18,-0.088,0.103
YER091C,-0.749,1.782,0.726,0.767,-0.097,-0.343,-0.38,-0.147,0.036,0.425,0.201,0.188,0.414,0.424
YLR405W,-0.809,-0.326,-0.039,0.245,0.069,0.155,0.052,0.224,-0.019,-0.081,0.156,-0.086,-0.213,-0.122
YML020W,-0.132,-0.3255,-0.4055,-0.0985,0.037,-0.2845,-0.145,-0.069,-0.191,-0.3295,-0.4395,-0.3505,-0.4355,-0.394
YDR113C,-0.711,-0.873,-0.487,-0.526,0.174,0.263,0.587,0.463,0.123,-0.262,0.049,-0.245,-0.523,-0.532
YPR001W,-0.202,-0.517,-0.683,-0.674,-0.529,-0.495,-0.285,0.267,0.539,0.678,0.641,0.67,0.331,0.649
YDL010W,0.363,-0.122,-0.365,-1.228,-0.11,0.258,0.445,0.208,-0.077,-0.247,0.182,0.049,-0.242,0.147
YCL022C,-1.487,-0.352,-0.018,0.623,0.756,0.581,0.333,0.431,-0.026,-0.083,0.104,-0.367,-0.305,0.125
YCR083W,0.225,0.479,0.559,0.046,0.124,0.058,0.313,-0.071,-0.169,-0.122,0.236,-0.114,-0.157,0.284
YDL018C,-0.49,0.096,-0.02,-0.302,0.062,0.216,-0.331,0.168,0.063,-0.23,0.148,0.079,0.066,0.151
YGL217C,-0.489,-0.384,-0.292,-0.522,0.068,0.104,0.457,0.405,0.168,-0.004,0.206,-0.101,-0.435,-0.238
YOR223W,1.253,-0.362,0.046,0.257,0.142,-0.2,-0.008,-0.105,-0.099,-0.423,0.112,-0.001,-0.227,0.037
YOR176W,0.848,-0.004,0.201,0.041,0.157,0.124,0.357,0.204,0.232,0.294,0.265,0.257,0.359,0.576
YBR299W,-0.263,-0.204,-0.456,-0.308,-0.262,-0.283,-0.248,0.086,0.186,-0.037,0.359,0.403,0.39,0.775
YML030W,0.259,-0.273,-0.355,-0.513,-0.219,0.052,-0.025,0.121,0.438,0.06,0.429,0.632,0.516,0.659
YJL149W,0.835,0.423,-0.592,-0.013,-0.612,-0.61,-0.473,-0.32,-0.309,-0.586,-0.136,-0.247,-0.291,-0.21
YGL040C,-0.224,0.306,0.481,-0.1,0.04,0.305,0.305,0.525,0.404,0.404,0.609,0.529,0.383,0.359
YGL096W,1.249,0.315,0.119,-0.586,-0.83,-0.664,-0.533,-0.182,-0.164,-0.624,0.075,0.103,0.011,-0.194
YJR092W,-1.256,-2.528,-1.058,-0.597,-0.373,-0.629,0.148,0.538,0.839,0.456,0.358,0.69,-0.043,0.108
YJL136C,-0.538,0.092,0.425,0.4095,0.497,0.765,0.391,0.4805,0.096,0.1795,0.3605,0.073,-0.1715,-0.1145
YKL098W,0.255,-0.037,-0.133,0.227,0.348,0.137,0.252,0.148,0.044,0.097,0.108,-0.155,-0.33,-0.012
YNL156C,0.787,0.093,0.163,0.267,-0.092,-0.135,-0.041,-0.027,-0.126,-0.404,-0.106,0.042,-0.073,0.041
YIR041W,0.232,0.412,0.49,-0.16,0.319,0.328,0.484,0.089,0.036,-0.089,0.301,0.12,-0.043,0.149
YDR327W,0.986,0.24,0.095,-0.083,-0.302,-0.076,0.003,-0.162,0.156,0.044,0.203,0.366,-0.035,0.085
YDR062W,-0.221,0.003,-0.134,-0.204,0.396,0.381,-0.003,0.376,0.259,0.245,0.077,0.031,0.289,0.322
YOR151C,-0.255,0.146,-0.238,-0.065,-0.314,-0.153,0.062,0.01,0.262,0.383,0.144,0.318,0.165,-0.187
YOL107W,-0.764,-0.181,-0.494,-0.506,-0.172,-0.715,-0.355,-0.499,-0.596,-0.643,-0.51,-0.358,-0.586,-0.395
YDR076W,-0.255,0.59,0.303,-0.03,0.292,-0.074,0.411,-0.404,-0.399,-0.089,0.235,-0.509,-0.741,0.014
YLR147C,-0.197,-0.365,-0.241,0.224,0.243,-0.046,0.058,-0.029,-0.462,-0.358,0.12,-0.271,-0.236,-0.265
YLR053C,0.172,-0.27,0.07,0.126,0.045,0.095,-0.023,-0.195,-0.799,-0.214,-0.073,-0.826,-0.339,-0.25
YPR067W,0.416,0.245,0.126,-0.199,0.06,-0.03,0.159,0.057,0.058,0.069,0.358,0.1,-0.015,0.017
YDL030W,-0.259,0.435,0.198,-1.123,-0.089,-0.403,0.011,-0.423,-0.106,-0.522,0.11,-0.204,-0.578,0.111
YGR218W,-0.003,0.023,-0.195,0.213,-0.415,-0.338,-0.151,-0.068,0.161,0.113,-0.166,0.08,-0.189,-0.951
YDR431W,-0.453,-0.075,-0.065,1.944,-0.044,0.045,0.358,0.334,0.04,-0.633,0.236,0.123,-0.306,0.215
YDL076C,0.852,0.57,0.27,0.194,-0.305,0.072,0.308,0.163,-0.074,-0.145,0.384,0.093,0.029,0.308
YER006W,-0.64,-0.202,0.155,0.815,1.029,1.012,0.685,0.408,-0.4,-0.02,0.229,-0.618,-0.641,-0.072
YBR010W,-0.121,-0.822,-0.903,-0.225,0.3395,1.168,0.9935,0.7415,1.0565,0.796,0.499,0.8635,0.181,-0.0785
YOR380W,0.035,-0.533,-0.57,-0.398,-0.238,0.078,-0.202,0.161,0.126,-0.203,-0.149,-0.178,0.181,0.097
YIR001C,0.833,0.02,0.079,-0.136,0.094,0.14,-0.114,-0.139,-0.064,-0.203,0.103,-0.346,-0.109,-0.157
YNL333W,-0.35,-0.054,-0.064,0.773,0.775,0.573,0.329,0.154,0.159,-0.508,0.234,0.189,0.028,0.336
YPR133C,0.466,-0.12,-0.21,0.125,0.101,0.175,-0.38,0.101,0.077,-0.067,-0.196,0.138,0.025,0.118
YGL255W,-0.243,-0.149,0.047,-0.075,0.249,0.177,-0.399,-0.03,0.053,0.25,-0.185,0.081,0.107,-0.1
YDR438W,-0.614,-0.493,-0.591,-0.22,-0.333,-0.402,-0.417,-0.177,0.085,-0.1,-0.064,0.092,0.358,0.26
YGL137W,-0.441,-0.197,-0.053,-0.056,-0.061,-0.018,0.097,0.124,0.367,0.255,0.421,0.28,0.197,-0.027
YNL197C,0.372,-0.397,-0.129,-0.032,0.12,0.31,0.355,0.264,0.304,0.573,0.366,0.042,-0.045,0.061
YER010C,-0.2,-0.158,-0.434,-0.448,-0.087,-0.27,-0.097,-0.098,-0.2,-0.497,-0.145,-0.287,-0.571,-0.378
YDL067C,0.551,0.424,0.343,-0.007,0.185,0.099,0.125,0.194,-2.062,0.399,0.219,0.326,0.202,0.032
YKR081C,-1.768,-0.604,0.581,0.357,0.767,0.397,0.172,0.11,-0.07,0.488,0.454,-0.339,-0.541,0.111
YOL095C,-0.588,-0.673,-0.529,-0.082,-0.195,-0.54,-0.176,-1.367,-0.661,-0.425,-0.358,-0.553,-0.742,-0.597
YMR135C,0.507,-0.078,-0.441,-0.336,-0.462,-0.472,-0.492,-0.233,0.151,-0.03,-0.146,0.219,0.377,-0.002
YLR005W,-0.004,0.347,0.479,0.609,0.198,0.142,0.161,0.176,0.075,0.014,0.204,0.106,-0.039,0.098
YNL170W,-1.127,-0.479,-0.325,-0.672,-0.157,-0.433,-0.103,-0.116,-0.206,-0.241,0.032,-0.216,-0.503,-0.467
YOR333C,0.107,0.127,-0.308,0.284,0.093,0.253,-0.006,-0.092,-0.293,-0.26,-0.081,-0.421,-0.412,-0.494
YHL002W,0.605,-0.044,0.122,0.356,-0.125,-0.063,-0.024,-0.072,-0.272,-0.254,-0.211,-0.078,-0.282,-0.105
YDR322W,0.2,-0.377,-0.056,-0.211,-0.156,-0.026,0.031,-0.028,-0.202,0.027,0.263,0.227,-0.203,0.134
YOR216C,-0.178,-0.533,-0.092,0.506,0.288,0.085,-0.073,0.185,0.244,0.264,0.324,0.029,0.89,0.16
YDL126C,0.6885,0.7845,0.5095,-0.092,-0.303,-0.165,0.0985,0.37,0.558,0.542,0.0175,0.6745,0.5645,0.644
YDR045C,-0.288,0.065,0.35,0.316,0.193,0.32,0.314,0.077,-0.539,-0.254,0.116,-0.255,-0.117,-0.114
YGR076C,0.868,-0.318,-0.211,0.008,-0.156,-0.206,-0.024,-0.216,-0.198,-0.478,0.075,-0.233,-0.218,-0.261
YNL176C,0.061,-0.716,-0.324,-0.032,0.363,-0.252,-0.179,-0.035,-0.237,-0.082,-0.439,-0.141,-0.279,-0.436
YOR230W,0.577,0.595,0.26,-0.015,-0.488,-0.585,-0.664,0.272,0.467,0.136,-0.068,0.724,1.066,0.904
YHR212C,-0.208,0.86,0.353,0.115,0.206,0.199,0.142,0.008,0.133,0.015,0.356,0.177,-0.019,0.498
YOL008W,-0.226,-0.846,-0.724,-0.555,-0.093,0.046,0.075,-0.128,-0.438,-0.044,0.007,-0.201,-0.165,-0.171
YHL041W,-0.485,-1.293,-0.4,-0.158,-0.286,-0.338,-0.126,-0.349,-0.338,0.018,-0.172,0.195,-0.121,-1.146
YJL082W,0.555,0.014,-0.281,-0.369,-0.046,-0.242,-0.169,-0.204,-0.206,-0.225,-0.147,-0.333,-0.563,0.056
YGL104C,0.688,0.173,0.435,0.652,0.055,-0.01,0.189,0.092,0.042,0.006,0.26,0.028,0.087,0.224
YJL114W,-0.009,0.586,0.144,0.186,-0.014,-0.092,-0.168,-0.536,-0.206,-0.336,0.073,-0.314,-1.123,0.2
YGR089W,-0.268,0.36,-0.167,0.025,-0.023,0.298,0.19,0.249,-0.064,0.125,0.263,-0.004,0.053,-0.043
