ID_REF	Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	Ctrl_7	Ctrl_8	Ctrl_9	BRCA1_1	BRCA1_2	BRCA1_3	BRCA1_4	BRCA1_5	BRCA1_6	BRCA1_7	BRCA1_8	BRCA1_9	BRCA2_1	BRCA2_2	BRCA2_3	BRCA2_4	BRCA2_5	BRCA2_6	BRCA2_7	BRCA2_8
200046_at	9.695122303	10.62598008	10.73170152	9.738177907	9.595416457	10.32986079	10.50412079	9.526758757	10.36822446	9.584224776	10.2660379	10.41216932	10.11814871	10.53046053	9.978550038	10.2870472	10.42771555	9.748106653	10.43059669	10.17454108	10.48720322	9.656965507	9.954725533	10.10802987	10.10293107	10.09073164
200047_s_at	9.082514809	9.4002335	9.805566616	9.220458784	9.039159923	9.263061829	9.449209347	8.728639103	9.205069836	10.41586086	9.440317577	9.428128238	9.139649227	9.241146161	9.203865129	9.521122127	9.132559943	9.387742137	9.671889806	9.988758281	10.03785123	10.09779472	10.29192169	9.727429278	10.05802999	9.980456802
200048_s_at	11.01866816	11.77068087	11.92843543	11.55528279	11.54750836	11.48811866	11.72153406	11.429913	11.33923774	11.60593005	11.53594031	11.53313692	11.60802468	11.54305293	11.7565598	11.31272271	11.42117945	11.8072025	11.78548772	11.43597418	11.26005423	11.80121774	11.54250356	11.35930665	11.61658672	11.48057099
200049_at	8.144295015	7.515295478	7.354840788	7.962824822	7.791833356	8.190657307	7.4139732	7.796081936	7.559660047	8.149362605	7.748008399	7.537960205	7.74236027	7.477312496	7.647667541	7.545044574	7.352451663	7.852563636	7.755089256	7.675155276	7.713744949	7.841595999	7.631595012	7.765024448	7.511467643	7.70456628
200050_at	8.875955262	8.745312099	9.075713353	8.459122675	8.582490406	8.213975472	8.797509747	8.096760633	8.815126151	8.807789793	8.313581578	8.926726832	8.298109895	8.671752943	8.850946728	8.314483118	8.556810309	8.78602027	8.774012533	9.117176074	9.54478888	9.610951125	9.243549072	8.870122203	8.83438988	9.160780757
200051_at	8.235171687	8.763148004	8.438119688	8.740135843	8.686824769	8.501321612	8.566053286	8.62788343	8.679372924	8.50697684	8.233205595	8.634867214	8.885064293	8.764132592	8.871511871	8.884750843	8.483712707	8.28655661	8.333238672	8.737582932	7.988387695	7.837124546	7.753162892	7.990979976	8.091582265	8.681245761
200052_s_at	10.12448728	10.57787113	10.86925087	10.29500673	9.790185242	10.08501675	11.01735281	10.24237815	10.50822391	9.957948694	10.26670742	10.58297695	10.6435021	10.42277782	10.51525658	10.47445651	10.27806571	10.38272976	10.39023772	10.01447602	10.28163054	9.972550038	10.17507153	10.27502605	10.10286533	10.07465584
200053_at	9.423432082	9.3509478	9.29648308	9.235406092	9.44757574	9.724932022	9.142447275	9.433853503	9.446377344	9.119928796	9.124699128	9.287452262	9.111840105	9.516075354	9.108245414	9.263990942	9.286488298	9.129835269	9.231603109	9.249564516	9.155513892	9.135284422	9.145134886	9.034822389	9.10934052	9.172209411
200054_at	6.715222287	7.113693302	7.556131675	7.406414592	7.159794019	5.88572457	7.529745125	7.140817311	7.069508189	7.373415218	7.418136584	7.488416962	7.426037765	7.338590469	7.844900051	7.225927253	7.287985601	7.364025028	7.107774065	6.734725639	6.997956376	7.417545728	6.829307915	7.006143354	6.887865877	6.638517884
200055_at	10.90067504	11.11873045	10.01481385	10.73953393	10.6020733	10.6182989	10.42910124	11.09062411	11.21082955	10.66950695	10.19624721	10.15556919	10.87856376	11.00010079	10.51695522	11.07100217	11.19906381	11.08213668	10.40694416	10.57351751	10.55176467	10.13482393	10.50091054	10.42288205	10.20812838	10.61640345
200056_s_at	7.481225823	8.072943431	8.957272553	7.967114257	7.405899276	7.359654508	8.177296272	6.466789941	7.996618108	8.267866151	8.051958745	7.902270198	7.985930747	7.691207854	8.070762149	7.519646242	7.145421709	7.525343335	8.434030432	8.087311564	8.51049629	7.997760961	8.470132273	8.406922216	8.629611276	8.126007772
200057_s_at	11.64456078	11.46387819	11.26291689	11.59496809	11.62405021	11.3741885	11.48283896	11.46337	11.63083289	11.60797625	11.5153184	11.61680497	11.67293383	11.62960755	11.67461902	11.63135325	11.56352846	11.39806945	11.32998891	11.42885667	11.3544301	11.50000645	11.30603029	11.36697846	11.53988667	11.38717874
